pointid,site,Huc,WRIA,potato,corn-field,hay,blueberry,broccoli,cucumber,other
1,48.51N122.25W,Skagit River,3,64.23,67.47,0,0,0,0,78
2,48.51N122.20W,Hansen Creek-Skagit River,3,13.53,0,0,0,0,0,0
3,48.51N122.16W,Hansen Creek-Skagit River,3,0,65.02,0,0,0,0,30
4,48.51N122.12W,Hansen Creek-Skagit River,3,0,0.64,0,0,0,0,0
5,48.51N122.08W,Hansen Creek-Skagit River,3,49.68,0,12.09,0,0,0,0
6,48.51N122.04W,Hansen Creek-Skagit River,3,0,0,63.65,561.97,0,0,34.3
7,48.51N122.00W,Loretta Creek-Skagit River,3,0,0,3,71.22,0,0,0
9,48.46N122.37W,Skagit Delta-Frontal Skagit Bay,3,20.22,0,0,4.7,0,0,61
10,48.46N122.33W,Skagit River,3,5.83,67.41,0,0,0,0,37
11,48.46N122.29W,Nookachamps Creek,3,0,333.56,108.04,0,0,0,19.15
12,48.46N122.25W,Nookachamps Creek,3,188.42,68.29,72.25,0,0,0,80
13,48.42N122.45W,Skagit Delta-Frontal Skagit Bay,3,148.66,217.16,71.13,33.39,5.24,55.76,211.14
14,48.42N122.41W,Skagit Delta-Frontal Skagit Bay,3,496.68,243.41,176.53,55.66,5.24,22.35,128
15,48.42N122.37W,Skagit Delta-Frontal Skagit Bay,3,205.61,185.66,145.78,43.22,54,0,130
16,48.42N122.33W,Skagit River,3,0,0,2.46,0,0,26.34,0
17,48.42N122.29W,Nookachamps Creek,3,0,0,3.72,0,0,0,20.87
18,48.42N122.25W,Nookachamps Creek,3,0,56.64,0,0,0,0,0
19,48.42N122.20W,East Fork Nookachamps Creek,3,0,95.96,13.17,0,0,0,0
20,48.38N122.50W,Skagit Delta-Frontal Skagit Bay,3,246.99,19.75,0,26.78,0,0,9
21,48.38N122.45W,Skagit Delta-Frontal Skagit Bay,3,188.57,362.07,300.24,86.14,0,21.06,80
22,48.38N122.41W,Skagit Delta-Frontal Skagit Bay,3,549.74,604.03,536.73,163.36,0,0,171
23,48.38N122.37W,Skagit Delta-Frontal Skagit Bay,3,592.48,16.55,216.56,0,89.81,74.6,188.33
24,48.38N122.33W,Skagit Delta-Frontal Skagit Bay,3,542.21,146.61,318.11,7.26,0,0,166
26,48.34N122.41W,Skagit Delta-Frontal Skagit Bay,3,717.78,166.04,48.83,0,96.78,176.4,198
27,48.34N122.37W,Skagit Delta-Frontal Skagit Bay,3,725.32,412.36,278.22,85.87,5.07,0.78,203
28,48.34N122.33W,Skagit Delta-Frontal Skagit Bay,3,279.25,302.21,132.33,0,0,31.7,186
29,48.30N122.37W,Skagit Delta-Frontal Skagit Bay,3,57.79,106.97,47.6,0,0,0,221
30,48.30N122.33W,Skagit Delta-Frontal Skagit Bay,3,55.34,58.65,38.24,0,0,0,127
32,48.26N122.37W,Skagit Delta-Frontal Skagit Bay,3,138.28,274.92,292.8,0,0,0,38
33,48.67N122.11W,Lower Skagit,4,0,0,0,0,0,0,23
34,48.50N122.35W,Upper Skagit,4,0,0,0,0,0,0,17
