pointid,Site,Huc,WRIA,Potato,Pasture,CornField,Grass Hay,Blueberry,Broccoli,Cucumber,Other
1,48.51N122.25W,Skagit River,3,64.23,,67.47,,,,,78
2,48.51N122.20W,Hansen Creek-Skagit River,3,13.53,,,,,,,
3,48.51N122.16W,Hansen Creek-Skagit River,3,,,65.02,,,,,30
4,48.51N122.12W,Hansen Creek-Skagit River,3,,,0.64,,,,,
5,48.51N122.08W,Hansen Creek-Skagit River,3,49.68,,,12.09,,,,
6,48.51N122.04W,Hansen Creek-Skagit River,3,,34.3,,63.65,561.97,,,
7,48.51N122.00W,Loretta Creek-Skagit River,3,,,,3,71.22,,,
9,48.46N122.37W,Skagit Delta-Frontal Skagit Bay,3,20.22,,,,4.7,,,61
10,48.46N122.33W,Skagit River,3,5.83,,67.41,,,,,37
11,48.46N122.29W,Nookachamps Creek,3,,19.15,333.56,108.04,,,,
12,48.46N122.25W,Nookachamps Creek,3,188.42,,68.29,72.25,,,,80
13,48.42N122.45W,Skagit Delta-Frontal Skagit Bay,3,148.66,31.14,217.16,71.13,33.39,5.24,55.76,180
14,48.42N122.41W,Skagit Delta-Frontal Skagit Bay,3,496.68,,243.41,176.53,55.66,5.24,22.35,128
15,48.42N122.37W,Skagit Delta-Frontal Skagit Bay,3,205.61,,185.66,145.78,43.22,54,,130
16,48.42N122.33W,Skagit River,3,,,,2.46,,,26.34,
17,48.42N122.29W,Nookachamps Creek,3,,20.87,,3.72,,,,
18,48.42N122.25W,Nookachamps Creek,3,,,56.64,,,,,
19,48.42N122.20W,East Fork Nookachamps Creek,3,,,95.96,13.17,,,,
20,48.38N122.50W,Skagit Delta-Frontal Skagit Bay,3,246.99,,19.75,,26.78,,,9
21,48.38N122.45W,Skagit Delta-Frontal Skagit Bay,3,188.57,,362.07,300.24,86.14,,21.06,80
22,48.38N122.41W,Skagit Delta-Frontal Skagit Bay,3,549.74,,604.03,536.73,163.36,,,171
23,48.38N122.37W,Skagit Delta-Frontal Skagit Bay,3,592.48,18.33,16.55,216.56,,89.81,74.6,170
24,48.38N122.33W,Skagit Delta-Frontal Skagit Bay,3,542.21,,146.61,318.11,7.26,,,166
26,48.34N122.41W,Skagit Delta-Frontal Skagit Bay,3,717.78,,166.04,48.83,,96.78,176.4,198
27,48.34N122.37W,Skagit Delta-Frontal Skagit Bay,3,725.32,,412.36,278.22,85.87,5.07,0.78,203
28,48.34N122.33W,Skagit Delta-Frontal Skagit Bay,3,279.25,,302.21,132.33,,,31.7,186
29,48.30N122.37W,Skagit Delta-Frontal Skagit Bay,3,57.79,,106.97,47.6,,,,221
30,48.30N122.33W,Skagit Delta-Frontal Skagit Bay,3,55.34,,58.65,38.24,,,,127
32,48.26N122.37W,Skagit Delta-Frontal Skagit Bay,3,138.28,,274.92,292.8,,,,38
33,48.67N122.11W,Lower Skagit,4,,,,,,,,23
34,48.50N122.35W,Upper Skagit,4,,,,,,,,17
